seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,adjust,inserted,finalpercent_x,finalpercent_y,finalpercent
1755016010,10,0.0,3392.205337876016,2577.3214802967705,0.7597775557745352,safe,0.09,False,True,0.068,0.068,0.068
1755016011,10,0.0,4082.49176358777,3088.8941861950702,0.7566198207049148,safe,0.09,False,False,0.068,0.068,0.068
1755016012,10,0.0,4619.466486094019,3958.120556084002,0.8568349977208696,safe,0.09,,False,0.068,0.068,0.068
1755016013,10,0.0,2610.0,2470.63007741662,0.9466015622285898,safe,0.09,False,False,0.068,0.068,0.068
1755016014,10,0.0,2922.0,1653.781500206052,0.5659758727604558,safe,0.09,False,False,0.068,0.068,0.068
1755016015,10,0.0,5663.217250597261,5308.216950422119,0.9373147303968072,safe,0.09,False,False,0.068,0.068,0.068
1755016016,10,0.0,7154.116357697325,6627.376197881923,0.9263724360243782,safe,0.09,False,False,0.068,0.068,0.068
1755016017,10,0.0,944.0,791.1299287814061,0.8380613652345403,safe,0.09,False,False,0.068,0.068,0.068
1755016018,10,0.0,1044.8805511890964,1009.2212129705572,0.9658723304037404,safe,0.09,False,False,0.068,0.068,0.068
1755016019,10,0.0,1675.1131555124582,1675.1131555124582,1.0,safe,0.09,,False,0.068,0.068,0.068
1755016020,10,0.0,3302.0,2887.0593497611485,0.874336568673879,safe,0.09,False,False,0.068,0.068,0.068
1755016021,10,0.0,7404.713089165029,6549.231412315111,0.8844679508107203,safe,0.09,False,False,0.068,0.068,0.068
1755016022,10,0.0,4400.025395063609,3674.32430169091,0.8350688852416935,safe,0.09,False,False,0.068,0.068,0.068
1755016023,10,0.0,3042.0,2207.116815129361,0.7255479339675742,safe,0.09,False,False,0.068,0.068,0.068
1755016024,10,0.0,4326.890535723031,4131.217082052814,0.9547773506043828,safe,0.09,False,False,0.068,0.068,0.068
1755016025,10,0.0,4610.442185658737,4501.578260732933,0.976387530622456,safe,0.09,False,False,0.068,0.068,0.068
1755016026,10,0.0,4185.338168103885,3608.724032186583,0.8622299769438869,safe,0.09,,False,0.068,0.068,0.068
1755016027,10,0.0,4444.08771338467,3676.956993070738,0.8273817328124525,safe,0.09,False,False,0.068,0.068,0.068
1755016028,10,0.0,5203.395681780079,5161.858393395401,0.992017272772447,safe,0.09,,False,0.068,0.068,0.068
1755016029,10,0.0,5939.997177452467,5825.62306392253,0.9807450895828556,safe,0.09,,False,0.068,0.068,0.068
1755016030,10,0.0,5030.103875784869,4678.222961670857,0.9300450005002916,safe,0.09,,False,0.068,0.068,0.068
1755016031,10,0.0,3792.6044668983,3046.0203550798897,0.8031473837215121,safe,0.09,False,False,0.068,0.068,0.068
1755016032,10,0.0,360.4388213180957,317.500431230054,0.8808719051654329,safe,0.09,False,False,0.068,0.068,0.068
1755016033,10,0.0,894.9645165708872,734.8015074387638,0.8210398220637863,safe,0.09,False,False,0.068,0.068,0.068
1755016034,10,0.0,2938.431472877598,1903.197983602436,0.6476918046819854,safe,0.09,False,False,0.068,0.068,0.068
1755016035,10,0.0,5819.578726647003,5780.506705845967,0.9932861083875142,safe,0.09,False,False,0.068,0.068,0.068
1755016036,10,0.0,6286.453951472782,5497.426613591035,0.874487693066312,safe,0.09,False,False,0.068,0.068,0.068
1755016037,10,0.0,2850.53222870314,1775.2966463041075,0.6227947989599771,safe,0.09,False,False,0.068,0.068,0.068
1755016038,10,0.0,683.949082170027,662.324647915236,0.9683829764254068,safe,0.09,False,False,0.068,0.068,0.068
1755016039,10,0.0,5346.394168116742,5165.404913139039,0.9661474165041865,safe,0.09,,False,0.068,0.068,0.068
1755016040,10,0.0,4261.900725510803,4174.029166340226,0.9793820727346846,safe,0.09,False,False,0.068,0.068,0.068
1755016041,10,0.0,6264.749559610362,6020.957067572935,0.9610850378426636,safe,0.09,False,False,0.068,0.068,0.068
1755016042,10,0.0,222.92934912663105,184.0780812218169,0.8257238535122382,safe,0.09,False,False,0.068,0.068,0.068
1755016043,10,0.0,2926.0,2107.33617521932,0.7202105861993575,safe,0.09,False,False,0.068,0.068,0.068
1755016044,10,0.0,428.9806333409293,417.1668493395307,0.972460798732586,safe,0.09,False,False,0.068,0.068,0.068
1755016045,10,0.0,2984.0,2773.634249677373,0.9295020943959026,safe,0.09,False,False,0.068,0.068,0.068
1755016046,10,0.0,3656.0,2891.066013574482,0.7907729796429108,safe,0.09,False,False,0.068,0.068,0.068
1755016047,10,0.0,2246.6313914778466,1548.5175918590044,0.6892619758332411,safe,0.09,False,False,0.068,0.068,0.068
1755016048,10,0.0,1221.9386048922752,984.2826530431628,0.8055090894930322,safe,0.09,False,False,0.068,0.068,0.068
